('Isso provavelmente vai facilitar minha vida', '(A)', ('', '', '', ''))
('Vamos testar com todos os casos data antiga', '(A)', ('12062017', '2003', '@teste', '+proj'))
('só prioridade data e hora', '(C)', ('17062017', '2228', '', ''))
('Sempre um problema né', '(A)', ('30062017', '2220', '', ''))
('Por que eu nao consigo fazer nada direito', '(C)', ('', '', '', ''))
('Mais Mais um um teste teste uhuu uhuu', '(A)', ('18062017', '2200', '@contexto', '+proj'))
('Faustão é chato demais', '(C)', ('21042017', '2200', '@contexto', '+proj'))
('Teste com mais descrição mais descrição', '(A)', ('', '2200', '', ''))
('Cara não é que meio que deu certo', '(A)', ('18062017', '2300', '', '+proj'))
('Eu nao deveria ter preguiça', '(R)', ('23042017', '2100', '@contexto', ''))
('Uma data bem maior', '(E)', ('20032018', '', '', ''))
('Uma outra só que completo', '(A)', ('20032019', '2200', '@Castor', '+Proj'))
('Dar banho no gato', '(A)', ('22042020', '1300', '', ''))
('Vamos adicionar testes', '(D)', ('19062017', '1500', '', ''))
('Perdi dois pontos por imprudência tive tempo suficiente', '(A)', ('', '', '', ''))
('A organização por data funciona a por hora mais ou menos', '(A)', ('18062017', '2100', '@contexto', '+proj'))
[('Acho que eram 25 casos testes', '(D)', ('', '', '', ''))]
('Acho que fiz um dos codigos mais imcompreensíveis', '(W)', ('', '', '', '+IssoAi'))
